"","date","1","2","3","4","5","ls"
"1",2000-02-29,-0.0720742378436539,-0.0822666216686013,-0.0730789756884666,-0.0897595523745708,0.031321449960593,0.103395687804247
"2",2000-03-31,0.115650743254494,0.125704316699523,0.103957343644219,0.122890133588087,0.10853853309527,-0.0071122101592236
"3",2000-04-30,0.0329630754422396,0.0102381811815402,0.0202372663853956,0.0224777570235477,-0.00457746159248397,-0.0375405370347236
"4",2000-05-31,0.0274913978072228,0.0312322785724404,0.0442758110248068,0.0305767681348665,-0.0196286960534053,-0.0471200938606281
"5",2000-06-30,-0.0428579842058442,-0.0524311560252106,-0.05077930578409,-0.0285552411604626,0.0247732671821723,0.0676312513880164
"6",2000-07-31,-0.029754845071875,0.0148664550714908,0.0353254018966569,-0.00857362986571389,0.00370941521878075,0.0334642602906558
"7",2000-08-31,0.0505770634510555,0.0425114621807832,0.0543263400588645,0.0595107558183372,0.106253846571781,0.0556767831207253
"8",2000-09-30,-0.0590606223033718,-0.000668675942708643,0.00555475883438816,0.0223916497478193,-0.0235849815351819,0.0354756407681899
"9",2000-10-31,0.0198188050374113,0.0515493525782841,0.0415264155390891,0.0284216976957396,0.0137725006803706,-0.00604630435704073
"10",2000-11-30,-0.0365651362190414,-0.0238424800185518,-0.00523749413678607,-0.0126870487185926,-0.0535653861588799,-0.0170002499398385
"11",2000-12-31,0.0521842188870864,0.0716683361679315,0.0565465672727442,0.0753697002117958,0.091130728830467,0.0389465099433806
"12",2001-01-31,0.191033315693494,0.0590993015366736,-0.00207463721449992,-0.0045430691993366,-0.0472272315140192,-0.238260547207513
"13",2001-02-28,-0.104168058081259,-0.0207254746055696,0.000652485685511433,0.00767283403326438,-0.00748547956441777,0.0966825785168411
"14",2001-03-31,-0.0781322449969594,-0.0520603190591748,-0.0322097859675465,-0.0186401065210576,-0.00610229804759655,0.0720299469493628
"15",2001-04-30,0.102293385611847,0.0716099593997638,0.0645240931535917,0.0469792686827198,0.0310788716011257,-0.0712145140107214
"16",2001-05-31,-0.00469321657310503,0.0335890067311349,0.0315977495113576,0.0246976618743443,0.0442697500398889,0.048962966612994
"17",2001-06-30,-0.0183772656702785,-0.0170249419483298,-0.0298905207171629,-0.0246119262677134,0.0113475955724238,0.0297248612427024
"18",2001-07-31,-0.0122833041248668,0.0131198818548,0.00937393747974568,0.0109399533996364,0.00238281666026571,0.0146661207851325
"19",2001-08-31,-0.0785187076333386,-0.0224887942477392,-0.0132614921189364,-0.0171257440417417,-0.0355840159809995,0.0429346916523391
"20",2001-09-30,-0.140541340661002,-0.0811204379748647,-0.0870999302420341,-0.0919622935695001,-0.13368071469219,0.00686062596881276
"21",2001-10-31,0.0512963489627855,0.00343556669422814,0.0246327329988186,0.0207209555502934,0.0051731142507206,-0.0461232347120649
"22",2001-11-30,0.111843476223294,0.0757841691258363,0.0836393169931996,0.08768629172082,0.119008393838885,0.00716491761559153
"23",2001-12-31,0.0181855475413613,0.0358047640915175,0.0287471344243386,0.0193573986522097,0.0407921516927768,0.0226066041514155
"24",2002-01-31,-0.00107352556951808,-0.00897535098763773,0.000247745990054681,0.0199631815054159,0.0227282502993505,0.0238017758688686
"25",2002-02-28,-0.028560726522514,0.00723371241695565,0.00782189961917746,0.0257047208440781,0.0040490284001862,0.0326097549227002
"26",2002-03-31,0.0856255358143245,0.062551210420861,0.0462086116327555,0.0415376879380346,0.0474538604516677,-0.0381716753626567
"27",2002-04-30,-0.0796287641453091,-0.0573746833950281,-0.0171948829258327,0.00666787317750276,-0.0114467470499221,0.068182017095387
"28",2002-05-31,-0.0346128259749188,0.0044457773474278,-0.000116060960499456,0.00759929577252479,0.006445874619385,0.0410587005943038
"29",2002-06-30,-0.144260116491932,-0.0730509274522774,-0.0431103538394382,-0.043944371878024,-0.044290351396343,0.0999697650955895
"30",2002-07-31,-0.138212947924144,-0.104256964712523,-0.0774055757335847,-0.0910863131344414,-0.0913934890035685,0.0468194589205753
"31",2002-08-31,0.038132124234182,0.012139949425937,0.00542516371860064,0.0157301384731656,0.00925501811766079,-0.0288771061165212
"32",2002-09-30,-0.181025960740226,-0.113342508137113,-0.0914806365860697,-0.0961523265879943,-0.0809326322802307,0.100093328459995
"33",2002-10-31,0.0973888372065193,0.0892109989330078,0.0371664743988386,0.0324398048304588,0.0552080177784532,-0.0421808194280661
"34",2002-11-30,0.22661221227196,0.0939484792324947,0.0621459069881894,0.0527972332394711,0.0676948565604107,-0.158917355711549
"35",2002-12-31,-0.0964765073382296,-0.0260152475297218,-0.03838315689718,-0.0374464565422386,-0.0414035485136526,0.055072958824577
"36",2003-01-31,-0.0174176906059473,-0.0284994781448892,-0.0311596479051088,-0.0366821528565729,-0.029137549045561,-0.0117198584396137
"37",2003-02-28,-0.0460901957402197,-0.0184794171413138,-0.025993370802383,-0.0145407107505357,-0.0164859505063604,0.0296042452338592
"38",2003-03-31,0.0101853901753202,0.0176548219982995,0.00780782071489235,-0.00482797715316027,-0.0126198229362915,-0.0228052131116118
"39",2003-04-30,0.149447670280765,0.102990793206207,0.0831964601047065,0.0605441738777544,0.121740293723566,-0.0277073765571995
"40",2003-05-31,0.129139737420568,0.0820255297344041,0.0811093382809947,0.0690161491028692,0.11467257066468,-0.014467166755888
"41",2003-06-30,0.0184754695651124,-0.000709508842413849,-0.0015329404027065,0.00686923147636328,0.00221927442996785,-0.0162561951351445
"42",2003-07-31,0.0375656979691506,0.0328327338743626,0.0208371100157908,0.0110845029103518,0.0249869880155041,-0.0125787099536465
