"","variables","alpha","MKT","HML","SMB","RMW","CMA","F5MOM","ADJ.R2"
"1","estimate",0.0105107442005441,"",0.165342120687778,0.638916980837563,-0.318225484087667,-0.718646077589739,-0.534259575873829,"0.35999762951731"
"2","stderr",0.00258984150448523,"",0.0986179704677262,0.111272595739601,0.122640496514087,0.156953848306071,0.0752085053975295,""
"3","tstat",4.0584507516545,"",1.67659220630471,5.74190775896657,-2.59478307029778,-4.57870950821371,-7.10371218055583,""
