"","variables","X1","X2","X3","X4","X5","ls"
"1","mean",0.00892366246045631,0.0100948797444089,0.009250807280494,0.0090826106536673,0.00888846683153632,-3.51956289199967e-05
"2","std dev",0.0771515721382772,0.0515668621964933,0.0440181120843726,0.0403956127644629,0.0465464382190711,0.0621723555208219
"3","tstat",1.83610969937993,3.10764008293203,3.33617245244766,3.56924835153925,3.03138203557617,-0.008986522763575
"4","ann sr",0,0,0,0,0,0
