"","variables","alpha","MKT","HML","SMB","RMW","CMA","adj.R2"
"1","estimate",0.000456581816416988,-0.44414505183446,0.288003867097437,-0.776350007767556,0.459231239513182,0.195353953476669,"0.213811314113865"
"2","std err",0.00365628473672172,0.0975215159563757,0.130613080444449,0.160779790430339,0.169640034092114,0.225020380948645,""
"3","t-stat",0.12487589159327,-4.55432883173329,2.20501550164364,-4.82865418402151,2.70709235571021,0.868161153461265,""
