"","variables","alpha","MKT","HML","SMB","RMW","CMA","F5MOM","ADJ.R2"
"1","estimate",0.0116931057577153,"",0.0950410946080445,0.772898027485994,-0.676621296700093,-0.67925965786239,"","0.225290130084071"
"2","stderr",0.0028434997552713,"",0.107953567949778,0.120652660065752,0.122984969835019,0.172575672861355,"",""
"3","tstat",4.11222323337236,"",0.880388637569253,6.40597585718198,-5.50165843523612,-3.93601048514003,"",""
